	reactome-id	name	species	wp-id
57	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
58	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
59	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
60	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
61	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
62	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
63	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
64	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
65	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
66	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
67	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
68	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
69	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
70	R-HSA-5658442	Regulation of RAS by GAPs	Homo sapiens	
71	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
72	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
73	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
74	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
75	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
76	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
77	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
78	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
79	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
80	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
81	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
82	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
83	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
84	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
85	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
86	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
87	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
88	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
89	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
90	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
91	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
92	R-HSA-5674135	MAP2K and MAPK activation	Homo sapiens	
93	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
94	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
95	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
96	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
97	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
98	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
99	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
100	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
101	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
102	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
103	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
104	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
105	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
106	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
107	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
108	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
109	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
110	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
111	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
112	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
113	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
114	R-HSA-5675221	Negative regulation of MAPK pathway	Homo sapiens	
115	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
116	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
117	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
118	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
119	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
120	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
121	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
122	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
123	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
124	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
125	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
126	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
127	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
128	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
129	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
130	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
131	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
132	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
133	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
134	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
135	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
136	R-HSA-5674499	Negative feedback regulation of MAPK pathway	Homo sapiens	
137	R-HSA-5673000	RAF activation	Homo sapiens	
138	R-HSA-5673000	RAF activation	Homo sapiens	
139	R-HSA-5673000	RAF activation	Homo sapiens	
140	R-HSA-5673000	RAF activation	Homo sapiens	
141	R-HSA-5673000	RAF activation	Homo sapiens	
142	R-HSA-5673000	RAF activation	Homo sapiens	
143	R-HSA-5673000	RAF activation	Homo sapiens	
144	R-HSA-5673000	RAF activation	Homo sapiens	
145	R-HSA-5673000	RAF activation	Homo sapiens	
146	R-HSA-5673000	RAF activation	Homo sapiens	
147	R-HSA-5673000	RAF activation	Homo sapiens	
148	R-HSA-5673000	RAF activation	Homo sapiens	
149	R-HSA-5673000	RAF activation	Homo sapiens	
150	R-HSA-5673000	RAF activation	Homo sapiens	
151	R-HSA-5673000	RAF activation	Homo sapiens	
152	R-HSA-5673000	RAF activation	Homo sapiens	
153	R-HSA-5673000	RAF activation	Homo sapiens	
154	R-HSA-5673000	RAF activation	Homo sapiens	
155	R-HSA-5673000	RAF activation	Homo sapiens	
156	R-HSA-5673000	RAF activation	Homo sapiens	
157	R-HSA-5673000	RAF activation	Homo sapiens	
158	R-HSA-5673000	RAF activation	Homo sapiens	
159	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
160	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
161	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
162	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
163	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
164	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
165	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
166	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
167	R-HSA-1257604	PIP3 activates AKT signaling	Homo sapiens	WP2653
168	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
169	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
170	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
171	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
172	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
173	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
174	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
175	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
176	R-HSA-198693	AKT phosphorylates targets in the nucleus	Homo sapiens	
177	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
178	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
179	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
180	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
181	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
182	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
183	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
184	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
185	R-HSA-198323	AKT phosphorylates targets in the cytosol	Homo sapiens	
186	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
187	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
188	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
189	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
190	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
191	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
192	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
193	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
194	R-HSA-199418	Negative regulation of the PI3K/AKT network	Homo sapiens	
195	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
196	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
197	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
198	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
199	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
200	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
201	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
202	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
203	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Homo sapiens	
204	R-HSA-1489509	DAG and IP3 signaling	Homo sapiens	WP2688
205	R-HSA-1489509	DAG and IP3 signaling	Homo sapiens	WP2688
206	R-HSA-1489509	DAG and IP3 signaling	Homo sapiens	WP2688
207	R-HSA-1489509	DAG and IP3 signaling	Homo sapiens	WP2688
208	R-HSA-1489509	DAG and IP3 signaling	Homo sapiens	WP2688
209	R-HSA-111997	CaM pathway	Homo sapiens	
210	R-HSA-111997	CaM pathway	Homo sapiens	
211	R-HSA-111997	CaM pathway	Homo sapiens	
212	R-HSA-111997	CaM pathway	Homo sapiens	
213	R-HSA-111997	CaM pathway	Homo sapiens	
214	R-HSA-111997	CaM pathway	Homo sapiens	
215	R-HSA-111933	Calmodulin induced events	Homo sapiens	
216	R-HSA-111933	Calmodulin induced events	Homo sapiens	
217	R-HSA-111933	Calmodulin induced events	Homo sapiens	
218	R-HSA-111933	Calmodulin induced events	Homo sapiens	
219	R-HSA-111933	Calmodulin induced events	Homo sapiens	
220	R-HSA-111933	Calmodulin induced events	Homo sapiens	
221	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	
222	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	
223	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	
224	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	
225	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	
226	R-HSA-111957	Cam-PDE 1 activation	Homo sapiens	
227	R-HSA-111931	PKA-mediated phosphorylation of CREB	Homo sapiens	
228	R-HSA-111931	PKA-mediated phosphorylation of CREB	Homo sapiens	
229	R-HSA-111931	PKA-mediated phosphorylation of CREB	Homo sapiens	
230	R-HSA-111931	PKA-mediated phosphorylation of CREB	Homo sapiens	
231	R-HSA-111931	PKA-mediated phosphorylation of CREB	Homo sapiens	
232	R-HSA-111931	PKA-mediated phosphorylation of CREB	Homo sapiens	
233	R-HSA-163615	PKA activation	Homo sapiens	
234	R-HSA-163615	PKA activation	Homo sapiens	
235	R-HSA-163615	PKA activation	Homo sapiens	
236	R-HSA-163615	PKA activation	Homo sapiens	
237	R-HSA-163615	PKA activation	Homo sapiens	
238	R-HSA-163615	PKA activation	Homo sapiens	
239	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	
240	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	
241	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	
242	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	
243	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	
244	R-HSA-111932	CaMK IV-mediated phosphorylation of CREB	Homo sapiens	
245	R-HSA-8852405	Signaling by MST1	Homo sapiens	WP3818
246	R-HSA-195721	Signaling by Wnt	Homo sapiens	
247	R-HSA-201681	TCF dependent signaling in response to WNT	Homo sapiens	WP3339
248	R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	Homo sapiens	
249	R-HSA-3769402	Deactivation of the beta-catenin transactivating complex	Homo sapiens	
250	R-HSA-4641263	Regulation of FZD by ubiquitination	Homo sapiens	
251	R-HSA-5368598	Negative regulation of TCF-dependent signaling by DVL-interacting proteins	Homo sapiens	
252	R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	Homo sapiens	
253	R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	Homo sapiens	
254	R-HSA-4641257	Degradation of AXIN	Homo sapiens	
255	R-HSA-4641258	Degradation of DVL	Homo sapiens	
256	R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	Homo sapiens	
257	R-HSA-201688	WNT mediated activation of DVL	Homo sapiens	
258	R-HSA-3858494	Beta-catenin independent WNT signaling	Homo sapiens	WP3558
259	R-HSA-4086400	PCP/CE pathway	Homo sapiens	
260	R-HSA-5099900	WNT5A-dependent internalization of FZD4	Homo sapiens	
261	R-HSA-4608870	Asymmetric localization of PCP proteins	Homo sapiens	
262	R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	Homo sapiens	
263	R-HSA-4086398	Ca2+ pathway	Homo sapiens	
264	R-HSA-195253	Degradation of beta-catenin by the destruction complex	Homo sapiens	WP2773
265	R-HSA-4641265	Repression of WNT target genes	Homo sapiens	
266	R-HSA-196299	Beta-catenin phosphorylation cascade	Homo sapiens	
267	R-HSA-3238698	WNT ligand biogenesis and trafficking	Homo sapiens	WP2790
268	R-HSA-2028269	Signaling by Hippo	Homo sapiens	WP2714
269	R-HSA-177929	Signaling by EGFR	Homo sapiens	WP1910
270	R-HSA-180292	GAB1 signalosome	Homo sapiens	
271	R-HSA-179812	GRB2 events in EGFR signaling	Homo sapiens	
272	R-HSA-212718	EGFR interacts with phospholipase C-gamma	Homo sapiens	
273	R-HSA-182971	EGFR downregulation	Homo sapiens	
274	R-HSA-180336	SHC1 events in EGFR signaling	Homo sapiens	
275	R-HSA-170834	Signaling by TGF-beta Receptor Complex	Homo sapiens	WP2742
276	R-HSA-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	Homo sapiens	
277	R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Homo sapiens	
278	R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Homo sapiens	
279	R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Homo sapiens	
280	R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	Homo sapiens	
281	R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	Homo sapiens	
282	R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	Homo sapiens	
283	R-HSA-2173789	TGF-beta receptor signaling activates SMADs	Homo sapiens	
284	R-HSA-2173788	Downregulation of TGF-beta receptor signaling	Homo sapiens	
285	R-HSA-2586552	Signaling by Leptin	Homo sapiens	WP3374
286	R-HSA-354192	Integrin alphaIIb beta3 signaling	Homo sapiens	WP1832
287	R-HSA-354192	Integrin alphaIIb beta3 signaling	Homo sapiens	WP1832
288	R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	Homo sapiens	
289	R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	Homo sapiens	
290	R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	Homo sapiens	
291	R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	Homo sapiens	
292	R-HSA-372790	Signaling by GPCR	Homo sapiens	
293	R-HSA-388396	GPCR downstream signaling	Homo sapiens	WP1824
294	R-HSA-416476	G alpha (q) signalling events	Homo sapiens	
295	R-HSA-416476	G alpha (q) signalling events	Homo sapiens	
296	R-HSA-114508	Effects of PIP2 hydrolysis	Homo sapiens	WP1809
297	R-HSA-114508	Effects of PIP2 hydrolysis	Homo sapiens	WP1809
298	R-HSA-114508	Effects of PIP2 hydrolysis	Homo sapiens	WP1809
299	R-HSA-426048	Arachidonate production from DAG	Homo sapiens	
300	R-HSA-426048	Arachidonate production from DAG	Homo sapiens	
301	R-HSA-426048	Arachidonate production from DAG	Homo sapiens	
302	R-HSA-416482	G alpha (12/13) signalling events	Homo sapiens	
303	R-HSA-397795	G-protein beta:gamma signalling	Homo sapiens	
304	R-HSA-392451	G beta:gamma signalling through PI3Kgamma	Homo sapiens	
305	R-HSA-418217	G beta:gamma signalling through PLC beta	Homo sapiens	
306	R-HSA-381753	Olfactory Signaling Pathway	Homo sapiens	
307	R-HSA-418597	G alpha (z) signalling events	Homo sapiens	
308	R-HSA-418555	G alpha (s) signalling events	Homo sapiens	
309	R-HSA-418594	G alpha (i) signalling events	Homo sapiens	
310	R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK	Homo sapiens	WP2664
311	R-HSA-2179392	EGFR Transactivation by Gastrin	Homo sapiens	
312	R-HSA-500792	GPCR ligand binding	Homo sapiens	WP1825
313	R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	Homo sapiens	
314	R-HSA-373080	Class B/2 (Secretin family receptors)	Homo sapiens	
315	R-HSA-419812	Calcitonin-like ligand receptors	Homo sapiens	
316	R-HSA-420092	Glucagon-type ligand receptors	Homo sapiens	
317	R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	Homo sapiens	
318	R-HSA-375281	Hormone ligand-binding receptors	Homo sapiens	
319	R-HSA-391903	Eicosanoid ligand-binding receptors	Homo sapiens	
320	R-HSA-391906	Leukotriene receptors	Homo sapiens	
321	R-HSA-391908	Prostanoid ligand receptors	Homo sapiens	
322	R-HSA-444209	Free fatty acid receptors	Homo sapiens	
323	R-HSA-3296197	Hydroxycarboxylic acid-binding receptors	Homo sapiens	
324	R-HSA-419408	Lysosphingolipid and LPA receptors	Homo sapiens	
325	R-HSA-375280	Amine ligand-binding receptors	Homo sapiens	
326	R-HSA-390648	Muscarinic acetylcholine receptors	Homo sapiens	
327	R-HSA-390696	Adrenoceptors	Homo sapiens	
328	R-HSA-390666	Serotonin receptors	Homo sapiens	
329	R-HSA-390650	Histamine receptors	Homo sapiens	
330	R-HSA-390651	Dopamine receptors	Homo sapiens	
331	R-HSA-419771	Opsins	Homo sapiens	
332	R-HSA-418038	Nucleotide-like (purinergic) receptors	Homo sapiens	
333	R-HSA-417957	P2Y receptors	Homo sapiens	
334	R-HSA-417973	Adenosine P1 receptors	Homo sapiens	
335	R-HSA-375276	Peptide ligand-binding receptors	Homo sapiens	
336	R-HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	Homo sapiens	
337	R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands	Homo sapiens	
338	R-HSA-380095	Tachykinin receptors bind tachykinins	Homo sapiens	
339	R-HSA-380108	Chemokine receptors bind chemokines	Homo sapiens	
340	R-HSA-388479	Vasopressin-like receptors	Homo sapiens	
341	R-HSA-444821	Relaxin receptors	Homo sapiens	
342	R-HSA-111885	Opioid Signalling	Homo sapiens	WP1978
343	R-HSA-202040	G-protein activation	Homo sapiens	
344	R-HSA-112040	G-protein mediated events	Homo sapiens	
345	R-HSA-112043	PLC beta mediated events	Homo sapiens	
346	R-HSA-111996	Ca-dependent events	Homo sapiens	
347	R-HSA-111995	phospho-PLA2 pathway	Homo sapiens	
348	R-HSA-170670	Adenylate cyclase inhibitory pathway	Homo sapiens	
349	R-HSA-170670	Adenylate cyclase inhibitory pathway	Homo sapiens	
350	R-HSA-170660	Adenylate cyclase activating pathway	Homo sapiens	
351	R-HSA-180024	DARPP-32 events	Homo sapiens	
352	R-HSA-194315	Signaling by Rho GTPases	Homo sapiens	WP1917
353	R-HSA-195258	RHO GTPase Effectors	Homo sapiens	WP3406
354	R-HSA-5627117	RHO GTPases Activate ROCKs	Homo sapiens	WP3365
355	R-HSA-5666185	RHO GTPases Activate Rhotekin and Rhophilins	Homo sapiens	WP3384
356	R-HSA-5627123	RHO GTPases activate PAKs	Homo sapiens	WP3351
357	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	Homo sapiens	WP3388
358	R-HSA-5627083	RHO GTPases regulate CFTR trafficking	Homo sapiens	WP3322
359	R-HSA-5625740	RHO GTPases activate PKNs	Homo sapiens	WP3357
360	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Homo sapiens	WP3397
361	R-HSA-5663220	RHO GTPases Activate Formins	Homo sapiens	WP3379
362	R-HSA-5668599	RHO GTPases Activate NADPH Oxidases	Homo sapiens	WP3396
363	R-HSA-5625970	RHO GTPases activate KTN1	Homo sapiens	WP3337
364	R-HSA-5625900	RHO GTPases activate CIT	Homo sapiens	WP3376
365	R-HSA-5626467	RHO GTPases activate IQGAPs	Homo sapiens	WP3330
366	R-HSA-194840	Rho GTPase cycle	Homo sapiens	
367	R-HSA-5358351	Signaling by Hedgehog	Homo sapiens	
368	R-HSA-5358346	Hedgehog ligand biogenesis	Homo sapiens	WP3401
369	R-HSA-5362798	Release of Hh-Np from the secreting cell	Homo sapiens	
370	R-HSA-5610787	Hedgehog 'off' state	Homo sapiens	WP3316
371	R-HSA-5610783	Degradation of GLI2 by the proteasome	Homo sapiens	
372	R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	Homo sapiens	
373	R-HSA-5610780	Degradation of GLI1 by the proteasome	Homo sapiens	
374	R-HSA-5632684	Hedgehog 'on' state	Homo sapiens	WP3313
375	R-HSA-5635838	Activation of SMO	Homo sapiens	
376	R-HSA-5632681	Ligand-receptor interactions	Homo sapiens	
377	R-HSA-5635851	GLI proteins bind promoters of Hh responsive genes to promote transcription	Homo sapiens	
378	R-HSA-73887	Death Receptor Signalling	Homo sapiens	
379	R-HSA-75157	FasL/ CD95L signaling	Homo sapiens	
380	R-HSA-75893	TNF signaling	Homo sapiens	WP3380
381	R-HSA-5357956	TNFR1-induced NFkappaB signaling pathway	Homo sapiens	
